oa_id,region,region_key,title,first_author,year,cites,venue,doi,measures,measure_setting,open_world
W4393065402,Generative agents (open-world),C,A survey on large language model based autonomous agents,Lei Wang,2024,1177,Frontiers of Computer Science,https://doi.org/10.1007/s11704-024-40231-1,,,
W4363671832,Generative agents (open-world),C,Generative Agents: Interactive Simulacra of Human Behavior,Joon-Sung Park,2023,173,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2304.03442,,,
W4386184788,Generative agents (open-world),C,A Survey on Large Language Model based Autonomous Agents,Lei Wang,2023,114,ArXiv.org,https://doi.org/10.48550/arxiv.2308.11432,,,
W4401042992,Generative agents (open-world),C,Unleashing the Emergent Cognitive Synergy in Large Language Models: A Task-Solving Agent through Multi-Persona Self-Collaboration,Zhenhailong Wang,2024,58,,https://doi.org/10.18653/v1/2024.naacl-long.15,,,
W4390742613,Generative agents (open-world),C,Generative agent‐based modeling: an introduction and tutorial,Navid Ghaffarzadegan,2024,55,System Dynamics Review,https://doi.org/10.1002/sdr.1761,,,
W4379919478,Generative agents (open-world),C,Multi-Agent Collaboration: Harnessing the Power of Intelligent LLM Agents,Yashar Talebirad,2023,53,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2306.03314,,,
W4390730779,Generative agents (open-world),C,"Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects",Yuheng Cheng,2024,37,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2401.03428,,,
W4404186313,Generative agents (open-world),C,Investigating the Effect of Role-Play Activity With GenAI Agent on EFL Students’ Speaking Performance,Angxuan Chen,2024,36,Journal of Educational Computing Research,https://doi.org/10.1177/07356331241299058,,,
W4396833131,Generative agents (open-world),C,"See Widely, Think Wisely: Toward Designing a Generative Multi-agent System to Burst Filter Bubbles",Yu Zhang,2024,35,,https://doi.org/10.1145/3613904.3642545,,,
W4411119608,Generative agents (open-world),C,Simulating Classroom Education with LLM-Empowered Agents,Zheyuan Zhang,2025,31,,https://doi.org/10.18653/v1/2025.naacl-long.520,,,
W4404445110,Generative agents (open-world),C,"PANGeA: Procedural Artificial Narrative Using Generative AI for Turn-Based, Role-Playing Video Games",Steph Buongiorno,2024,28,Proceedings of the AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,https://doi.org/10.1609/aiide.v20i1.31876,,,
W4409580926,Generative agents (open-world),C,LLM-Based Multi-Agent Decision-Making: Challenges and Future Directions,Chuanneng Sun,2025,27,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2025.3562371,,,
W4402684061,Generative agents (open-world),C,CharacterEval: A Chinese Benchmark for Role-Playing Conversational Agent Evaluation,Quan Tu,2024,27,,https://doi.org/10.18653/v1/2024.acl-long.638,,,
W4403675277,Generative agents (open-world),C,Large Language Model-Enabled Multi-Agent Manufacturing Systems,Jonghan Lim,2024,26,,https://doi.org/10.1109/case59546.2024.10711432,,,
W4412888514,Generative agents (open-world),C,A Survey of LLM-based Agents in Medicine: How far are we from Baymax?,Wenxuan Wang,2025,26,,https://doi.org/10.18653/v1/2025.findings-acl.539,,,
W4403447187,Generative agents (open-world),C,LLM experiments with simulation: Large Language Model Multi-Agent System for Simulation Model Parametrization in Digital Twins,Yuchen Xia,2024,25,,https://doi.org/10.1109/etfa61755.2024.10710900,,,
W4411700982,Generative agents (open-world),C,LLM-Based Agents for Tool Learning: A Survey,Weikai Xu,2025,25,Data Science and Engineering,https://doi.org/10.1007/s41019-025-00296-9,,,
W4411113092,Generative agents (open-world),C,KnowAgent: Knowledge-Augmented Planning for LLM-Based Agents,Yuqi Zhu,2025,22,,https://doi.org/10.18653/v1/2025.findings-naacl.205,,,
W4402671855,Generative agents (open-world),C,Tell Me More! Towards Implicit User Intention Understanding of Language Model Driven Agents,Cheng Qian,2024,22,,https://doi.org/10.18653/v1/2024.acl-long.61,,,
W4318688600,Generative agents (open-world),C,A Methodology to Develop Agent-Based Models for Policy Support Via Qualitative Inquiry,Vittorio Nespeca,2023,21,Journal of Artificial Societies and Social Simulation,https://doi.org/10.18564/jasss.5014,,,
W4392956085,Generative agents (open-world),C,An evolutionary model of personality traits related to cooperative behavior using a large language model,Reiji Suzuki,2024,21,Scientific Reports,https://doi.org/10.1038/s41598-024-55903-y,,,
W4389519442,Generative agents (open-world),C,Humanoid Agents: Platform for Simulating Human-like Generative Agents,Zhilin Wang,2023,19,,https://doi.org/10.18653/v1/2023.emnlp-demo.15,,,
W4407170313,Generative agents (open-world),C,Plan-Then-Execute: An Empirical Study of User Trust and Team Performance When Using LLM Agents As A Daily Assistant,Gaole He,2025,19,,https://doi.org/10.1145/3706598.3713218,,,
W7118468219,Generative agents (open-world),C,From language to action: a review of large language models as autonomous agents and tool users,Sadia Sultana Chowa,2026,19,Artificial Intelligence Review,https://doi.org/10.1007/s10462-025-11471-9,,,
W4404739721,Generative agents (open-world),C,From Data to Story: Towards Automatic Animated Data Video Creation with LLM-Based Multi-Agent Systems,Leixian Shen,2024,18,,https://doi.org/10.1109/gen4ds63889.2024.00008,,,
W4409719977,Generative agents (open-world),C,UXAgent: An LLM Agent-Based Usability Testing Framework for Web Design,Yuxuan Lu,2025,17,,https://doi.org/10.1145/3706599.3719729,,,
W4410732732,Generative agents (open-world),C,Large language model-enabled multi-agent self-organised approach for personalised rehabilitation assistive devices design,Weibin Zhuang,2025,17,International Journal of Production Research,https://doi.org/10.1080/00207543.2025.2509155,,,
W4402671594,Generative agents (open-world),C,Large Language Models are Superpositions of All Characters: Attaining Arbitrary Role-play via Self-Alignment,Keming Lu,2024,17,,https://doi.org/10.18653/v1/2024.acl-long.423,,,
W4402670897,Generative agents (open-world),C,From Role-Play to Drama-Interaction: An LLM Solution,Weiqi Wu,2024,17,,https://doi.org/10.18653/v1/2024.findings-acl.196,,,
W4412377122,Generative agents (open-world),C,<i>The Truth Becomes Clearer Through Debate!</i> Multi-Agent Systems with Large Language Models Unmask Fake News,Yuhan Liu,2025,16,,https://doi.org/10.1145/3726302.3730092,,,
W4399391136,Generative agents (open-world),C,LLM-Augmented Agent-Based Modelling for Social Simulations: Challenges and Opportunities,Önder Gürcan,2024,16,Frontiers in artificial intelligence and applications,https://doi.org/10.3233/faia240190,,,
W4384111914,Generative agents (open-world),C,Epidemic Modeling with Generative Agents,Ross Williams,2023,16,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2307.04986,,,
W4407736938,Generative agents (open-world),C,Emotional RAG: Enhancing Role-Playing Agents through Emotional Retrieval,Le Hui Huang,2024,13,,https://doi.org/10.1109/ickg63256.2024.00023,,,
W4409657236,Generative agents (open-world),C,Thematic-LM: A LLM-based Multi-agent System for Large-scale Thematic Analysis,Tingrui Qiao,2025,13,,https://doi.org/10.1145/3696410.3714595,,,
W4401719266,Generative agents (open-world),C,Towards Responsible Generative AI: A Reference Architecture for Designing Foundation Model Based Agents,Qinghua Lu,2024,13,,https://doi.org/10.1109/icsa-c63560.2024.00028,,,
W4389471395,Generative agents (open-world),C,"Generative agent-based modeling with actions grounded in physical, social, or digital space using Concordia",Alexander Sasha Vezhnevets,2023,12,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2312.03664,,,
W4411119815,Generative agents (open-world),C,LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models,Saaket Agashe,2025,12,,https://doi.org/10.18653/v1/2025.findings-naacl.448,,,
W4391116610,Generative agents (open-world),C,Psychologically-Valid Generative Agents: A Novel Approach to Agent-Based Modeling in Social Sciences,Konstantinos Mitsopoulos,2024,11,Proceedings of the AAAI Symposium Series,https://doi.org/10.1609/aaaiss.v2i1.27698,,,
W4401105851,Generative agents (open-world),C,BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination via Blockchain,Bei Chen,2024,11,,https://doi.org/10.1145/3674399.3674445,,,
W4412889809,Generative agents (open-world),C,Many Heads Are Better Than One: Improved Scientific Idea Generation by A LLM-Based Multi-Agent System,Haoyang Su,2025,11,,https://doi.org/10.18653/v1/2025.acl-long.1368,,,
W7118083939,Generative agents (open-world),C,Agentic information systems,Florian Holldack,2026,10,Electronic Markets,https://doi.org/10.1007/s12525-025-00861-0,,,
W4389520177,Generative agents (open-world),C,Towards large language model-based personal agents in the enterprise: Current trends and open problems,Vinod Muthusamy,2023,10,,https://doi.org/10.18653/v1/2023.findings-emnlp.461,,,
W4400527441,Generative agents (open-world),C,Unleashing Generative Non-Player Characters in Video Games: An AI Act Perspective,M. Sas,2024,10,,https://doi.org/10.1109/gem61861.2024.10585442,,,
W4406457901,Generative agents (open-world),C,EduMAS: A Novel LLM-Powered Multi-Agent Framework for Educational Support,Qiaomu Li,2024,10,,https://doi.org/10.1109/bigdata62323.2024.10826103,,,
W4413232935,Generative agents (open-world),C,AgentCoord: Visually exploring coordination strategy for LLM-based multi-agent collaboration,Bo Pan,2025,10,Computers & Graphics,https://doi.org/10.1016/j.cag.2025.104338,,,
W4404782095,Generative agents (open-world),C,Shall We Team Up: Exploring Spontaneous Cooperation of Competing LLM Agents,Zengqing Wu,2024,10,,https://doi.org/10.18653/v1/2024.findings-emnlp.297,,,
W4404783650,Generative agents (open-world),C,LLM-Based Agent Society Investigation: Collaboration and Confrontation in Avalon Gameplay,Yihuai Lan,2024,10,,https://doi.org/10.18653/v1/2024.emnlp-main.7,,,
W4393967396,Generative agents (open-world),C,LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models,Saaket Agashe,2023,10,ArXiv.org,https://doi.org/10.48550/arxiv.2310.03903,,,
W4401415335,Generative agents (open-world),C,Language Evolution for Evading Social Media Regulation via LLM-Based Multi-Agent Simulation,Jinyu Cai,2024,9,,https://doi.org/10.1109/cec60901.2024.10612015,,,
W4408954469,Generative agents (open-world),C,Exploring Large Language Model-Driven Agents for Environment-Aware Spatial Interactions and Conversations in Virtual Reality Role-Play Scenarios,Ziming Li,2025,9,,https://doi.org/10.1109/vr59515.2025.00025,,,
W4406034570,Generative agents (open-world),C,LLM-AIDSim: LLM-Enhanced Agent-Based Influence Diffusion Simulation in Social Networks,Lan Zhang,2025,9,Systems,https://doi.org/10.3390/systems13010029,,,
W4391555701,Generative agents (open-world),C,Executable Code Actions Elicit Better LLM Agents,Xingyao Wang,2024,9,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2402.01030,,,
W4394628379,Generative agents (open-world),C,Analysis of LLM-Based Narrative Generation Using the Agent-Based Simulation,Naoto Aoki,2023,8,,https://doi.org/10.1109/iiai-aai-winter61682.2023.00059,,,
W4405366927,Generative agents (open-world),C,Spontaneous Emergence of Agent Individuality Through Social Interactions in Large Language Model-Based Communities,Ryosuke Takata,2024,8,Entropy,https://doi.org/10.3390/e26121092,,,
W4410049680,Generative agents (open-world),C,<scp>MetaAgents:</scp> Large Language Model Based Agents for Decision-Making on Teaming,Yuan Li,2025,8,Proceedings of the ACM on Human-Computer Interaction,https://doi.org/10.1145/3711032,,,
W4411437934,Generative agents (open-world),C,Generative Agent-Based Modeling with Large Language Models for insider threat detection,Antonino Ferraro,2025,8,Engineering Applications of Artificial Intelligence,https://doi.org/10.1016/j.engappai.2025.111343,,,
W4389315209,Generative agents (open-world),C,Chatter Generation through Language Models,Matthias Müller-Brockhausen,2023,8,,https://doi.org/10.1109/cog57401.2023.10333244,,,
W4409364670,Generative agents (open-world),C,BotSim: LLM-Powered Malicious Social Botnet Simulation,Boyu Qiao,2025,8,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v39i13.33575,,,
W4393248299,Generative agents (open-world),C,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,Wei Tao,2024,8,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2403.17927,,,
W4410486480,Generative agents (open-world),C,Can Generative Agent-Based Modeling Replicate the Friendship Paradox in Social Media Simulations?,Gian Marco Orlando,2025,7,,https://doi.org/10.1145/3717867.3717895,,,
W4400163277,Generative agents (open-world),C,Simulating Classroom Education with LLM-Empowered Agents,Zheyuan Zhang,2024,7,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2406.19226,,,
W4412087385,Generative agents (open-world),C,Multi-Agentic LLMs for Personalizing STEM Texts,Michael Vaccaro,2025,7,Applied Sciences,https://doi.org/10.3390/app15137579,,,
W4402670877,Generative agents (open-world),C,SocialBench: Sociality Evaluation of Role-Playing Conversational Agents,Hongzhan Chen,2024,7,,https://doi.org/10.18653/v1/2024.findings-acl.125,,,
W4404782996,Generative agents (open-world),C,"MAgIC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration",Lin Xu,2024,7,,https://doi.org/10.18653/v1/2024.emnlp-main.416,,,
W4410086782,Generative agents (open-world),C,"Generative Agents in Agent-Based Modeling: Overview, Validation, and Emerging Challenges",Carlo Adornetto,2025,6,IEEE Transactions on Artificial Intelligence,https://doi.org/10.1109/tai.2025.3566362,,,
W4413415991,Generative agents (open-world),C,"Selective agreement, not sycophancy: investigating opinion dynamics in LLM interactions",Erica Cau,2025,6,EPJ Data Science,https://doi.org/10.1140/epjds/s13688-025-00579-1,,,
W4399126752,Generative agents (open-world),C,Using LLMs to Animate Interactive Story Characters with Emotions and Personality,Aline Normoyle,2024,6,,https://doi.org/10.1109/vrw62533.2024.00124,,,
W4409010281,Generative agents (open-world),C,Multi-Stage Simulation of Residents’ Disaster Risk Perception and Decision-Making Behavior: An Exploratory Study on Large Language Model-Driven Social–Cognitive Agent Framework,Xinjie Zhao,2025,6,Systems,https://doi.org/10.3390/systems13040240,,,
W4393942320,Generative agents (open-world),C,A Survey on Large Language Model-Based Game Agents,Sihao Hu,2024,6,ArXiv.org,https://doi.org/10.48550/arxiv.2404.02039,,,
W4404723820,Generative agents (open-world),C,VCounselor: a psychological intervention chat agent based on a knowledge-enhanced large language model,Han‐Zhong Zhang,2024,5,Multimedia Systems,https://doi.org/10.1007/s00530-024-01467-w,,,
W4405996330,Generative agents (open-world),C,LLM-Collab: a framework for enhancing task planning via chain-of-thought and multi-agent collaboration,Hong Phong Cao,2024,5,Applied Computing and Intelligence,https://doi.org/10.3934/aci.2024019,,,
W4410386633,Generative agents (open-world),C,LLM-based robot personality simulation and cognitive system,Jia-Hsun Lo,2025,5,Scientific Reports,https://doi.org/10.1038/s41598-025-01528-8,,,
W4413725215,Generative agents (open-world),C,AI-powered Automatic Item Generation for Psychological Tests: A Conceptual Framework for an LLM-based Multi-Agent AIG System,Philseok Lee,2025,5,Journal of Business and Psychology,https://doi.org/10.1007/s10869-025-10067-y,,,
W4401943406,Generative agents (open-world),C,Controlled Chain of Thought: Eliciting Role-Play Understanding in LLM Through Prompts,Deborah Carlander,2024,5,,https://doi.org/10.1109/cog60054.2024.10645667,,,
W4386942402,Generative agents (open-world),C,Generative Agent-Based Modeling: Unveiling Social System Dynamics through Coupling Mechanistic Models with Generative Artificial Intelligence,Navid Ghaffarzadegan,2023,5,ArXiv.org,https://doi.org/10.48550/arxiv.2309.11456,,,
W4410495238,Generative agents (open-world),C,CoReaAgents: A Collaboration and Reasoning Framework Based on LLM-Powered Agents for Complex Reasoning Tasks,Zhonghe Han,2025,5,Applied Sciences,https://doi.org/10.3390/app15105663,,,
W4409657309,Generative agents (open-world),C,Social Bots Meet Large Language Model: Political Bias and Social Learning Inspired Mitigation Strategies,Jinghua Piao,2025,4,,https://doi.org/10.1145/3696410.3714537,,,
W4412046621,Generative agents (open-world),C,Personas Evolved: Designing Ethical LLM-Based Conversational Agent Personalities,Smit Desai,2025,4,,https://doi.org/10.1145/3719160.3728624,,,
W4415250589,Generative agents (open-world),C,Large Language Model Agents for Improving Engagement with Behavior Change Interventions: Application to Digital Mindfulness,Harsh Kumar,2025,4,Proceedings of the ACM on Human-Computer Interaction,https://doi.org/10.1145/3757619,,,
W4416054130,Generative agents (open-world),C,TravelAgent: Generative agents in the built environment,Ariel Noyman,2025,4,Environment and Planning B Urban Analytics and City Science,https://doi.org/10.1177/23998083251360458,,,
W7125268930,Generative agents (open-world),C,An LLM-based multi-agent system to assist early-stage product design and evaluation,Pei Chen,2026,4,Journal of Engineering Design,https://doi.org/10.1080/09544828.2026.2616583,,,
W4393146219,Generative agents (open-world),C,NarrativePlay: An Automated System for Crafting Visual Worlds in Novels for Role-Playing,Runcong Zhao,2024,4,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v38i21.30589,,,
W4400360991,Generative agents (open-world),C,Prototyping Slice of Life: Social Physics with Symbolically Grounded LLM-based Generative Dialogue,Mike Treanor,2024,4,,https://doi.org/10.1145/3649921.3656988,,,
W4411012007,Generative agents (open-world),C,TrajLLM: A Modular LLM-Enhanced Agent-Based Framework for Realistic Human Trajectory Simulation,Chen Ju,2025,4,,https://doi.org/10.1145/3701716.3715201,,,
W4404652670,Generative agents (open-world),C,LLM-based Multi-Agent Systems: Techniques and Business Perspectives,Yingxuan Yang,2024,4,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2411.14033,,,
W4400519007,Generative agents (open-world),C,Richelieu: Self-Evolving LLM-Based Agents for AI Diplomacy,Zhenyu Guan,2024,4,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2407.06813,,,
W4403753173,Generative agents (open-world),C,The Effects of Embodiment and Personality Expression on Learning in LLM-based Educational Agents,Si̇nan Sonlu,2024,4,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2407.10993,,,
W4399150744,Generative agents (open-world),C,STRIDE: A Tool-Assisted LLM Agent Framework for Strategic and Interactive Decision-Making,Chuanhao Li,2024,4,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2405.16376,,,
W4416036821,Generative agents (open-world),C,MultiAgentESC: A LLM-based Multi-Agent Collaboration Framework for Emotional Support Conversation,Yangyang Xu,2025,4,,https://doi.org/10.18653/v1/2025.emnlp-main.232,,,
W4403564672,Generative agents (open-world),C,Many Heads Are Better Than One: Improved Scientific Idea Generation by A LLM-Based Multi-Agent System,Haoyang Su,2024,4,ArXiv.org,https://doi.org/10.48550/arxiv.2410.09403,,,
W4402715028,Generative agents (open-world),C,Self-Emotion Blended Dialogue Generation in Social Simulation Agents,Qiang Zhang,2024,4,,https://doi.org/10.18653/v1/2024.sigdial-1.21,,,
W4388787328,Generative agents (open-world),C,A Bayesian Agent-Based Framework for Argument Exchange Across Networks,Leon Assaad,2023,4,ArXiv.org,https://doi.org/10.48550/arxiv.2311.09254,,,
W4414564603,Generative agents (open-world),C,PosterMate: Audience-driven Collaborative Persona Agents for Poster Design,Dong-Hoon Shin,2025,3,,https://doi.org/10.1145/3746059.3747769,,,
W4416132621,Generative agents (open-world),C,LLM-Driven Agent-Based Evaluation Framework for Occupant-Centric HVAC Control Considering Individual Differences and Movement Behavior,Shinnosuke SASAKI,2025,3,,https://doi.org/10.1145/3736425.3772325,,,
W4416998105,Generative agents (open-world),C,Multi-Agent RAG Framework for Entity Resolution: Advancing Beyond Single-LLM Approaches with Specialized Agent Coordination,Aatif Muhammad Althaf,2025,3,Computers,https://doi.org/10.3390/computers14120525,,,
W4408190937,Generative agents (open-world),C,Large language model-based planning agent with generative memory strengthens performance in textualized world,J.-K. Liu,2025,3,Engineering Applications of Artificial Intelligence,https://doi.org/10.1016/j.engappai.2025.110319,,,
W4409749324,Generative agents (open-world),C,Generative Role-Play Communication Training in Virtual Reality for Autistic Individuals: A Study on Job Coach Experiences in Vocational Training Programs,Ziming Li,2025,3,,https://doi.org/10.1145/3706598.3713507,,,
W4409887526,Generative agents (open-world),C,Envisioning Recommendations on an LLM-Based Agent Platform,Jizhi Zhang,2025,3,Communications of the ACM,https://doi.org/10.1145/3699952,,,
W4411405191,Generative agents (open-world),C,Deploying Foundation Model Powered Agent Services: A Survey,Wenchao Xu,2025,3,IEEE Communications Surveys & Tutorials,https://doi.org/10.1109/comst.2025.3580745,,,
W4412712907,Generative agents (open-world),C,Interactive simulation and visual analysis of social media event dynamics with LLM-based multi-agent modeling,Zhikai Cheng,2025,3,Visual Informatics,https://doi.org/10.1016/j.visinf.2025.100260,,,
W4413118977,Generative agents (open-world),C,Agentic AI for Sustainable Development: Leveraging Large Language Model-Enhanced Agent-Based Modeling for Complex Policy Strategies,Jia’an Liu,2025,3,Emerging Media,https://doi.org/10.1177/27523543251365678,,,
W4399245308,Generative agents (open-world),C,Managing the Personality of NPCs with Your Interactions: A Game Design System Based on Large Language Models,Muyun Dai,2024,3,Lecture notes in computer science,https://doi.org/10.1007/978-3-031-60692-2_17,,,
W4412954214,Generative agents (open-world),C,AgentsBench: A Multi-Agent LLM Simulation Framework for Legal Judgment Prediction,Cong Jiang,2025,3,Systems,https://doi.org/10.3390/systems13080641,,,
W4396818880,Generative agents (open-world),C,PLAYER*: Enhancing LLM-based Multi-Agent Communication and Interaction in Murder Mystery Games,Qinglin Zhu,2024,3,ArXiv.org,https://doi.org/10.48550/arxiv.2404.17662,,,
W4388684481,Generative agents (open-world),C,Smart Agent-Based Modeling: On the Use of Large Language Models in Computer Simulations,Zengqing Wu,2023,3,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2311.06330,,,
W4400104935,Generative agents (open-world),C,Role-Play Zero-Shot Prompting with Large Language Models for Open-Domain Human-Machine Conversation,Ahmed Njifenjou,2024,3,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2406.18460,,,
W4390573030,Generative agents (open-world),C,LLM Harmony: Multi-Agent Communication for Problem Solving,Sumedh Rasal,2024,3,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2401.01312,,,
W4404655016,Generative agents (open-world),C,Exploring the Coping Strategies of Bullying Targets in Organisations Through Abductive Reasoning: An Agent-Based Simulation Approach,Chia‐Hao Ho,2024,3,Journal of Business Ethics,https://doi.org/10.1007/s10551-024-05861-2,,,
W4412876896,Generative agents (open-world),C,Empowering Economic Simulation for Massively Multiplayer Online Games through Generative Agent-Based Modeling,Bihan Xu,2025,2,,https://doi.org/10.1145/3711896.3736929,,,
W4415262107,Generative agents (open-world),C,Leveraging Intra- and Inter-References in vulnerability detection using Multi-Agent collaboration based on LLMs,Chung-Nan Tsai,2025,2,Cluster Computing,https://doi.org/10.1007/s10586-025-05721-2,,,
W7116074778,Generative agents (open-world),C,Automating agentic collaborative ontology engineering with role-playing simulation of LLM-powered agents and RAG technology,Andreas Soularidis,2025,2,The Knowledge Engineering Review,https://doi.org/10.1017/s026988892510009x,,,
W7122504065,Generative agents (open-world),C,Designing AI-Agents With Personalities: A Psychometric Approach,Muhua Huang,2026,2,Personality Science,https://doi.org/10.1177/27000710251406471,,,
W4411077654,Generative agents (open-world),C,Capturing Argument in Agent-Based Models,Leon Assaad,2025,2,Topoi,https://doi.org/10.1007/s11245-025-10215-2,,,
W4411549769,Generative agents (open-world),C,SupportPlay: A Multi-Agent Role-Playing System for Personalized and Sustained Multimodal Emotional Support Conversation,Geng Tu,2025,2,,https://doi.org/10.1145/3701716.3715200,,,
W4406612815,Generative agents (open-world),C,Integrating Large Language Models into Agent Models for Multi-Agent Simulations: Preliminary Report,Hiromitsu Hattori,2024,2,,https://doi.org/10.1109/wsc63780.2024.10838923,,,
W4416004162,Generative agents (open-world),C,LABMATE: Language Model Based Multi-Agent System to Accelerate Catalysis Experiments,Anurag Acharya,2025,2,,https://doi.org/10.1145/3731599.3767399,,,
W4403936803,Generative agents (open-world),C,Generating Plausible and Context-Appropriate Comments on Social Media Posts: A Large Language Model-Based Approach,Taehyun Ha,2024,2,IEEE Access,https://doi.org/10.1109/access.2024.3488903,,,
W4403367700,Generative agents (open-world),C,The Drama Machine: Simulating Character Development with LLM Agents,Liam Magee,2024,2,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2408.01725,,,
W4412564281,Generative agents (open-world),C,GA: A Comprehensive Survey on LLM-based GUI Agent,Longzhao Huang,2025,2,,https://doi.org/10.36227/techrxiv.175322671.12208812/v1,,,
W4416035922,Generative agents (open-world),C,MPO: Boosting LLM Agents with Meta Plan Optimization,Weimin Xiong,2025,2,,https://doi.org/10.18653/v1/2025.findings-emnlp.210,,,
W4416033968,Generative agents (open-world),C,LLM Agents at the Roundtable: A Multi-Perspective and Dialectical Reasoning Framework for Essay Scoring,Jinhee Jang,2025,2,,https://doi.org/10.18653/v1/2025.findings-emnlp.1072,,,
W4405754217,Generative agents (open-world),C,TraderTalk: An LLM Behavioural ABM applied to Simulating Human Bilateral Trading Interactions,Alicia Vidler,2024,1,,https://doi.org/10.1109/ica63002.2024.00042,,,
W4410069631,Generative agents (open-world),C,Personalized Non-Player Characters: A Framework for Character-Consistent Dialogue Generation,Xiao Liu,2025,1,AI,https://doi.org/10.3390/ai6050093,,,
W4412686028,Generative agents (open-world),C,Cognitively-plausible reinforcement learning in epidemiological agent-based simulations,Konstantinos Mitsopoulos,2025,1,Frontiers in Epidemiology,https://doi.org/10.3389/fepid.2025.1563731,,,
W4412774407,Generative agents (open-world),C,Let It Go or Control It All? The Dilemma of Prompt Engineering in Generative Agent‐Based Models,Zewei Li,2025,1,System Dynamics Review,https://doi.org/10.1002/sdr.70008,,,
W4416038902,Generative agents (open-world),C,The Power of Stories: Narrative Priming in Networked Multi-Agent LLM Interactions,Gerrit Großmann,2025,1,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-09315-8_11,,,
W4416236568,Generative agents (open-world),C,RoleplayLLM: Enhancing Role-Playing Abilities in Large Language Models via Multidimensional Fine-Tuning and Preference Optimization,Chupeng Wei,2025,1,Lecture notes in computer science,https://doi.org/10.1007/978-981-95-3349-7_4,,,
W4416733079,Generative agents (open-world),C,Generative agents for urban mobility: A cognitive framework for realistic travel behavior simulation,Qi Liu,2025,1,Simulation Modelling Practice and Theory,https://doi.org/10.1016/j.simpat.2025.103234,,,
W4416926344,Generative agents (open-world),C,Design and Evaluation of Generative Agent-based Platform for Human-Assistant Interaction Research: A Tale of 10 User Studies,Ziyi Xuan,2025,1,Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies,https://doi.org/10.1145/3770661,,,
W7150980898,Generative agents (open-world),C,PaperOrchestrator: An LLM-Orchestrated multi-agent pipeline for automated end-to-end scientific paper writing,Chunhong Yuan,2026,1,Journal of King Saud University - Computer and Information Sciences,https://doi.org/10.1007/s44443-026-00708-4,,,
W7152549665,Generative agents (open-world),C,Emergent Coordinated Behaviors in Networked LLM Agents: Modeling the Strategic Dynamics of Information Operations,Gian Marco Orlando,2026,1,,https://doi.org/10.1145/3774904.3792580,,,
W4412900686,Generative agents (open-world),C,Can LLM-Powered Multi-Agent Systems Augment Human Creativity? Evidence from Brainstorming Tasks,Kazuma Fukumura,2025,1,,https://doi.org/10.1145/3715928.3737479,,,
W4416018097,Generative agents (open-world),C,A Large-Scale Dataset of Interactions Between Weibo Users and Platform-Empowered LLM Agent,Shaokui Gu,2025,1,,https://doi.org/10.1145/3746252.3761607,,,
W4416191434,Generative agents (open-world),C,ChatArch: A Knowledge-driven Graph-of-thought LLM Framework for Processor Architecture Optimization,Zheng Wu,2025,1,ACM Transactions on Design Automation of Electronic Systems,https://doi.org/10.1145/3774888,,,
W4416748448,Generative agents (open-world),C,L3M+P: Lifelong Planning with Large Language Models,Krish Agarwal,2025,1,,https://doi.org/10.1109/iros60139.2025.11247529,,,
W4417041577,Generative agents (open-world),C,An Agent-Based RAG Architecture for Intelligent Tourism Assistance: The Valencia Case Study,Andrea Bonetti,2025,1,Tourism and Hospitality,https://doi.org/10.3390/tourhosp6050266,,,
W7117579638,Generative agents (open-world),C,The Agentopia Times: Understanding and Mitigating Hallucinations in Multi-Agent LLM Systems via Data Journalism Gameplay,Yilin Harry Lu,2025,1,,https://doi.org/10.1109/vis60296.2025.00037,,,
